first_line,text,len,note,text_raw,len_raw
  Success is counted sweetest,"  Success is counted sweetest
  
  By those who ne'er succeed.
  
  To comprehend a nectar
  
  Requires sorest need.
  

  Not one of all the purple host
  
  Who took the flag to-day
  
  Can tell the definition,
  
  So clear, of victory,
  

  As he, defeated, dying,
  
  On whose forbidden ear
  
  The distant strains of triumph
  
  Break, agonized and clear!",367,,success is counted sweetest by those who neer succeed to comprehend a nectar requires sorest need not one of all the purple host who took the flag today can tell the definition so clear of victory as he defeated dying on whose forbidden ear the distant strains of triumph break agonized and clear,296
"  Our share of night to bear,","  Our share of night to bear,
  
  Our share of morning,
  
  Our blank in bliss to fill,
  
  Our blank in scorning.
  

  Here a star, and there a star,
  
  Some lose their way.
  
  Here a mist, and there a mist,
  
  Afterwards — day!",239,,our share of night to bear our share of morning our blank in bliss to fill our blank in scorning here a star and there a star some lose their way here a mist and there a mist afterwards day,189
"  Soul, wilt thou toss again?","  Soul, wilt thou toss again?
  
  By just such a hazard
  
  Hundreds have lost, indeed,
  
  But tens have won an all.
  

  Angels' breathless ballot
  
  Lingers to record thee;
  
  Imps in eager caucus
  
  Raffle for my soul.",232,,soul wilt thou toss again by just such a hazard hundreds have lost indeed but tens have won an all angels breathless ballot lingers to record thee imps in eager caucus raffle for my soul,186
  'T is so much joy! 'T is so much joy!,"  'T is so much joy! 'T is so much joy!
  
  If I should fail, what poverty!
  
  And yet, as poor as I
  
  Have ventured all upon a throw;
  
  Have gained! Yes! Hesitated so
  
  This side the victory!
  

  Life is but life, and death but death!
  
  Bliss is but bliss, and breath but breath!
  
  And if, indeed, I fail,
  
  At least to know the worst is sweet.
  
  Defeat means nothing but defeat,
  
  No drearier can prevail!
  

  And if I gain, — oh, gun at sea,
  
  Oh, bells that in the steeples be,
  
  At first repeat it slow!
  
  For heaven is a different thing
  
  Conjectured, and waked sudden in,
  
  And might o'erwhelm me so!",653,,t is so much joy t is so much joy if i should fail what poverty and yet as poor as i have ventured all upon a throw have gained yes hesitated so this side the victory life is but life and death but death bliss is but bliss and breath but breath and if indeed i fail at least to know the worst is sweet defeat means nothing but defeat no drearier can prevail and if i gain oh gun at sea oh bells that in the steeples be at first repeat it slow for heaven is a different thing conjectured and waked sudden in and might oerwhelm me so,531
  Glee! The great storm is over!,"  Glee! The great storm is over!
  
  Four have recovered the land;
  
  Forty gone down together
  
  Into the boiling sand.
  

  Ring, for the scant salvation!
  
  Toll, for the bonnie souls, —
  
  Neighbor and friend and bridegroom,
  
  Spinning upon the shoals!
  

  How they will tell the shipwreck
  
  When winter shakes the door,
  
  Till the children ask, ""But the forty?
  
  Did they come back no more?""
  

  Then a silence suffuses the story,
  
  And a softness the teller's eye;
  
  And the children no further question,
  
  And only the waves reply.",573,,glee the great storm is over four have recovered the land forty gone down together into the boiling sand ring for the scant salvation toll for the bonnie souls neighbor and friend and bridegroom spinning upon the shoals how they will tell the shipwreck when winter shakes the door till the children ask but the forty did they come back no more then a silence suffuses the story and a softness the tellers eye and the children no further question and only the waves reply,470
"  If I can stop one heart from breaking,","  If I can stop one heart from breaking,
  
  I shall not live in vain;
  
  If I can ease one life the aching,
  
  Or cool one pain,
  
  Or help one fainting robin
  
  Unto his nest again,
  
  I shall not live in vain.",223,,if i can stop one heart from breaking i shall not live in vain if i can ease one life the aching or cool one pain or help one fainting robin unto his nest again i shall not live in vain,185
  Within my reach!,"  Within my reach!
  
  I could have touched!
  
  I might have chanced that way!
  
  Soft sauntered through the village,
  
  Sauntered as soft away!
  
  So unsuspected violets
  
  Within the fields lie low,
  
  Too late for striving fingers
  
  That passed, an hour ago.",277,,within my reach i could have touched i might have chanced that way soft sauntered through the village sauntered as soft away so unsuspected violets within the fields lie low too late for striving fingers that passed an hour ago,227
"  A wounded deer leaps highest,","  A wounded deer leaps highest,
  
  I've heard the hunter tell;
  
  'T is but the ecstasy of death,
  
  And then the brake is still.
  

  The smitten rock that gushes,
  
  The trampled steel that springs;
  
  A cheek is always redder
  
  Just where the hectic stings!
  

  Mirth is the mail of anguish,
  
  In which it cautions arm,
  
  Lest anybody spy the blood
  
  And ""You're hurt"" exclaim!",405,,a wounded deer leaps highest ive heard the hunter tell t is but the ecstasy of death and then the brake is still the smitten rock that gushes the trampled steel that springs a cheek is always redder just where the hectic stings mirth is the mail of anguish in which it cautions arm lest anybody spy the blood and youre hurt exclaim,331
"  The heart asks pleasure first,","  The heart asks pleasure first,
  
  And then, excuse from pain;
  
  And then, those little anodynes
  
  That deaden suffering;
  

  And then, to go to sleep;
  
  And then, if it should be
  
  The will of its Inquisitor,
  
  The liberty to die.",251,,the heart asks pleasure first and then excuse from pain and then those little anodynes that deaden suffering and then to go to sleep and then if it should be the will of its inquisitor the liberty to die,203
"  A precious, mouldering pleasure 't is","  A precious, mouldering pleasure 't is
  
  To meet an antique book,
  
  In just the dress his century wore;
  
  A privilege, I think,
  

  His venerable hand to take,
  
  And warming in our own,
  
  A passage back, or two, to make
  
  To times when he was young.
  

  His quaint opinions to inspect,
  
  His knowledge to unfold
  
  On what concerns our mutual mind,
  
  The literature of old;
  

  What interested scholars most,
  
  What competitions ran
  
  When Plato was a certainty.
  
  And Sophocles a man;
  

  When Sappho was a living girl,
  
  And Beatrice wore
  
  The gown that Dante deified.
  
  Facts, centuries before,
  

  He traverses familiar,
  
  As one should come to town
  
  And tell you all your dreams were true;
  
  He lived where dreams were sown.
  

  His presence is enchantment,
  
  You beg him not to go;
  
  Old volumes shake their vellum heads
  
  And tantalize, just so.",929,,a precious mouldering pleasure t is to meet an antique book in just the dress his century wore a privilege i think his venerable hand to take and warming in our own a passage back or two to make to times when he was young his quaint opinions to inspect his knowledge to unfold on what concerns our mutual mind the literature of old what interested scholars most what competitions ran when plato was a certainty and sophocles a man when sappho was a living girl and beatrice wore the gown that dante deified facts centuries before he traverses familiar as one should come to town and tell you all your dreams were true he lived where dreams were sown his presence is enchantment you beg him not to go old volumes shake their vellum heads and tantalize just so,758
